Drug_ID,text,Y
DEMETHYLASTEMIZOLE,The molecular structure represented by SMILES Oc1ccc(CCN2CCC(Nc3nc4ccccc4n3Cc3ccc(F)cc3)CC2)cc1 was tested for hERG channel blocking activity.,1.0
GBR-12909,The molecular structure represented by SMILES Fc1ccc(C(OCC[NH+]2CC[NH+](CCCc3ccccc3)CC2)c2ccc(F)cc2)cc1 was tested for hERG channel blocking activity.,1.0
CLOFILIUM PHOSPHATE,The molecular structure represented by SMILES CCCCCCC[N+](CC)(CC)CCCCc1ccc(Cl)cc1.CCCCCCC[N+](CC)(CC)CCCCc1ccc(Cl)cc1.CCCCCCC[N+](CC)(CC)CCCCc1ccc(Cl)cc1.O=P([O-])([O-])[O-] was tested for hERG channel blocking activity.,1.0
FLUSPIRILENE,The molecular structure represented by SMILES O=C1NCN(c2ccccc2)C12CC[NH+](CCCC(c1ccc(F)cc1)c1ccc(F)cc1)CC2 was tested for hERG channel blocking activity.,1.0
VANOXERINE HYDROCHLORIDE,The molecular structure represented by SMILES Fc1ccc(C(OCCN2CCN(CCCc3ccccc3)CC2)c2ccc(F)cc2)cc1 was tested for hERG channel blocking activity.,1.0
L-691121,The molecular structure represented by SMILES CS(=O)(=O)Nc1ccc2c(c1)C(=O)CC1(CCN(CCc3ccc4nonc4c3)CC1)O2 was tested for hERG channel blocking activity.,1.0
BMCL20031829_02,The molecular structure represented by SMILES O=C1NCCN1CCN1CC=C(c2cn(-c3ccc(F)cc3)c3ccc(Cl)cc23)CC1 was tested for hERG channel blocking activity.,1.0
DOFETILIDE,The molecular structure represented by SMILES C[NH+](CCOc1ccc(NS(C)(=O)=O)cc1)CCc1ccc(NS(C)(=O)=O)cc1 was tested for hERG channel blocking activity.,1.0
BMCL20031829_15,The molecular structure represented by SMILES CN(C)Cc1cc2cc(Cl)ccc2n1-c1ccc(F)cc1 was tested for hERG channel blocking activity.,1.0
DIGITOXIN,The molecular structure represented by SMILES C[C@H]1O[C@@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@]5(C)[C@H]6CC[C@]7(C)[C@@H](C8=CC(=O)OC8)CC[C@]7(O)[C@@H]6CC[C@@H]5C4)O[C@@H]3C)O[C@@H]2C)C[C@H](O)[C@@H]1O was tested for hERG channel blocking activity.,1.0
ASTEMIZOLE,The molecular structure represented by SMILES COc1ccc(CC[NH+]2CCC(Nc3nc4ccccc4n3Cc3ccc(F)cc3)CC2)cc1 was tested for hERG channel blocking activity.,1.0
CLEMASTINE,The molecular structure represented by SMILES C[NH+]1CCC[C@@H]1CCO[C@](C)(c1ccccc1)c1ccc(Cl)cc1 was tested for hERG channel blocking activity.,1.0
CLOFILIUM,The molecular structure represented by SMILES CCCCCCC[N+](CC)(CC)CCCCc1ccc(Cl)cc1 was tested for hERG channel blocking activity.,1.0
SERTINDOLE,The molecular structure represented by SMILES O=C1NCCN1CC[NH+]1CCC(c2cn(-c3ccc(F)cc3)c3ccc(Cl)cc23)CC1 was tested for hERG channel blocking activity.,1.0
TOLTERODINE TARTRATE,The molecular structure represented by SMILES Cc1ccc(O)c([C@@H](CCN(C(C)C)C(C)C)c2ccccc2)c1 was tested for hERG channel blocking activity.,1.0
L-702958,The molecular structure represented by SMILES CS(=O)(=O)Nc1ccc2c(c1)C(=O)CC1(CCN([C@@H]3CCc4cc(C#N)ccc4C3)CC1)O2 was tested for hERG channel blocking activity.,1.0
OUABAIN,The molecular structure represented by SMILES C[C@@H]1O[C@@H](O[C@@H]2C[C@@H](O)[C@]3(CO)[C@H]4[C@@H](O)C[C@]5(C)[C@H](C6=CC(=O)OC6)CC[C@]5(O)[C@@H]4CC[C@@]3(O)C2)[C@H](O)[C@H](O)[C@H]1O was tested for hERG channel blocking activity.,1.0
LIDOFLAZINE,The molecular structure represented by SMILES Cc1cccc(C)c1NC(=O)C[NH+]1CC[NH+](CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1 was tested for hERG channel blocking activity.,1.0
PIMOZIDE,The molecular structure represented by SMILES O=C1N=c2ccccc2=[N+]1C1CC[NH+](CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1 was tested for hERG channel blocking activity.,1.0
WOMBAT07,The molecular structure represented by SMILES c1ccc(-c2[nH]c3ccccc3c2C2C[C@@H]3CC[C@H](C2)N3c2ccccc2)cc1 was tested for hERG channel blocking activity.,1.0
